"id","livestock_type_id","name","photo","description","min_weight","max_weight","is_qurban"
1,3,Awassi,ternak-kurban/hewan-kurban/DombaAwassi.png,"Domba Awassi adalah jenis domba yang berasal dari kawasan Timur Tengah, terutama dari wilayah Syam yang meliputi Suriah, Lebanon, dan Palestina. Domba ini terkenal sebagai domba penghasil susu yang luar biasa, mampu menghasilkan jumlah susu yang signifikan bahkan dalam kondisi lingkungan yang keras. Domba Awassi memiliki tubuh yang besar dan kuat, dengan bulu panjang yang berfungsi sebagai pelindung dari kondisi cuaca ekstrem, baik panas maupun dingin. Bulu mereka biasanya berwarna putih atau cokelat kekuningan. Selain produksi susu yang tinggi, domba Awassi juga dimanfaatkan untuk daging dan wolnya. 



Daging domba Awassi memiliki tekstur yang lembut dan rasa yang lezat, sementara wolnya digunakan untuk berbagai produk tekstil berkualitas tinggi. Kemampuan adaptasi yang baik terhadap lingkungan yang keras menjadikan domba ini pilihan favorit bagi peternak di daerah yang sulit. Domba ini juga dikenal dengan kemampuan reproduksi yang baik, dengan tingkat kelahiran kembar yang cukup tinggi. Selain itu, domba Awassi memiliki daya tahan yang baik terhadap penyakit, sehingga memudahkan perawatan dan pemeliharaannya.",,,1
2,3,Barbados Blackbelly,,,,,0
3,3,Dorper,ternak-kurban/hewan-kurban/DombaDorper.png,"Domba Dorper



Domba Dorper adalah jenis domba yang dikembangkan di Afrika Selatan pada tahun 1930-an sebagai hasil persilangan antara domba Dorset Horn dan domba Blackhead Persian. Domba Dorper terkenal dengan kemampuan pertumbuhan cepat, efisiensi dalam penggunaan pakan, dan adaptasi yang luar biasa terhadap berbagai kondisi lingkungan, termasuk daerah semi-gersang. Domba ini memiliki tubuh yang kekar dan berotot dengan kulit yang tidak berbulu, menjadikannya lebih tahan terhadap serangan parasit. 



Kulit domba Dorper juga dihargai di pasar komersial karena kualitasnya yang baik. Selain itu,


daging domba Dorper dikenal karena kualitasnya yang tinggi, dengan rasio daging terhadap tulang yang sangat baik, membuatnya populer di industri daging. Domba Dorper dapat dipelihara dengan mudah dalam berbagai kondisi lingkungan, dari padang rumput yang subur hingga daerah yang kering. Domba ini juga memiliki kemampuan reproduksi yang baik, dengan tingkat kelahiran kembar yang cukup tinggi. Selain itu, domba Dorper memiliki sifat yang jinak dan mudah ditangani, sehingga cocok untuk peternak pemula.",50,90,1
4,3,Ekor Gemuk,,,,,0
5,3,Ekor Tipis,,,,,0
6,3,Garut,ternak-kurban/hewan-kurban/DombaGarut.png,"Domba Garut adalah jenis domba lokal Indonesia yang berasal dari Kabupaten Garut, Jawa Barat. Domba ini memiliki ciri khas penampilan fisik yang unik dengan tanduk besar yang melengkung pada domba jantan dan bulu tebal yang melindungi tubuh mereka. Domba Garut sering digunakan dalam kontes adu domba, sebuah tradisi budaya yang sangat populer di daerah asalnya. 



Selain nilai budaya, domba Garut juga memiliki nilai ekonomi yang tinggi karena dagingnya yang lezat dan wolnya yang berkualitas. Daging domba Garut dikenal memiliki tekstur yang lembut dan rasa yang kaya, sementara wolnya digunakan untuk berbagai produk tekstil. Domba ini juga terkenal dengan ketahanannya terhadap penyakit dan kemampuan adaptasinya yang baik terhadap lingkungan tropis Indonesia. Selain itu, domba Garut memiliki kemampuan reproduksi yang baik, dengan tingkat kelahiran yang cukup tinggi. Domba ini juga mudah dirawat dan dipelihara, sehingga cocok untuk peternak yang ingin mengembangkan usaha ternak domba.",,,1
7,3,Merino,ternak-kurban/hewan-kurban/DombaMerino.png,"Domba Merino



Domba Merino adalah salah satu jenis domba yang paling terkenal di dunia, berasal dari Spanyol dan telah tersebar luas ke berbagai negara seperti Australia dan Selandia Baru.


Domba ini sangat dihargai karena kualitas wolnya yang sangat halus dan lembut. Wol Merino dianggap sebagai salah satu wol terbaik di dunia, digunakan dalam industri tekstil untuk membuat pakaian mewah seperti sweater, syal, dan pakaian dalam yang nyaman. Selain wol, domba Merino juga dimanfaatkan untuk dagingnya. Domba ini memiliki tubuh yang kuat dan kemampuan adaptasi yang baik terhadap berbagai kondisi lingkungan, dari iklim dingin hingga panas. Domba Merino juga dikenal dengan kemampuan reproduksi yang tinggi, membuatnya pilihan utama bagi peternak yang fokus pada produksi wol dan daging. Selain itu, domba Merino memiliki sifat yang jinak dan mudah ditangani, sehingga cocok untuk peternak pemula. Wol domba Merino juga memiliki sifat termal yang baik, menjaga tubuh tetap hangat saat cuaca dingin dan tetap sejuk saat cuaca panas. Kemampuan ini membuat wol Merino sangat dicari dalam industri pakaian outdoor dan olahraga.",,,1
8,3,Priangan,,,,,0
9,3,Texel,ternak-kurban/hewan-kurban/DombaTexel.png,"Domba Texel adalah jenis domba yang berasal dari Pulau Texel di Belanda. Domba ini terkenal dengan kualitas dagingnya yang sangat baik, memiliki daging yang rendah lemak dan bertekstur halus. Domba Texel memiliki tubuh yang berotot dan berbulu tebal, dengan warna bulu putih yang dominan. Mereka juga dikenal dengan pertumbuhan cepat dan efisiensi dalam pakan, membuatnya populer di kalangan peternak yang fokus pada produksi daging. Selain itu, domba Texel sering digunakan dalam program pembiakan untuk meningkatkan kualitas daging domba lokal. Daging domba Texel sangat dihargai di pasar daging premium karena rasa dan teksturnya yang superior. 



Domba ini juga memiliki kemampuan reproduksi yang baik, dengan tingkat kelahiran kembar yang cukup tinggi. Selain itu, domba Texel memiliki sifat yang jinak dan mudah ditangani, sehingga cocok untuk peternak pemula. Domba Texel juga memiliki daya tahan yang baik terhadap penyakit, sehingga memudahkan perawatan dan pemeliharaannya.",,,1
10,4,Anglo Nubian,ternak-kurban/hewan-kurban/KambingAngloNubian.png,"Kambing Anglo Nubian adalah jenis kambing yang merupakan hasil persilangan antara kambing asal Inggris dengan kambing dari Timur Tengah dan India. Kambing ini dikenal dengan telinganya yang panjang dan menjuntai serta tubuhnya yang besar dan berotot. Kambing Anglo Nubian memiliki produksi susu yang baik dengan kandungan lemak yang tinggi, membuat susu mereka sangat cocok untuk pembuatan keju dan produk susu lainnya. 



Kambing ini juga dimanfaatkan untuk dagingnya yang berkualitas. Selain itu, kambing Anglo Nubian memiliki sifat yang ramah dan mudah ditangani, menjadikannya pilihan favorit bagi peternak. Kambing ini juga memiliki kemampuan adaptasi yang baik terhadap berbagai kondisi lingkungan, dari iklim panas hingga dingin. Selain itu, kambing Anglo Nubian memiliki kemampuan reproduksi yang baik, dengan tingkat kelahiran kembar yang cukup tinggi. Kambing ini juga memiliki daya tahan yang baik terhadap penyakit, sehingga memudahkan perawatan dan pemeliharaannya. Kambing Anglo Nubian juga dikenal dengan sifat yang cerdas dan penasaran, membuat mereka mudah untuk dilatih dan diajari.",,,1
